ketinggianAir,suhuAir,suhuUdara,kelembapanUdara,tds,orp,do,ph,label,lokasi
117.0,29.69,29.81,35.81,521.98,242.98,22.79,5.03,3.0,2.0
128.0,29.75,29.94,36.02,521.75,242.85,22.65,5.08,3.0,2.0
134.0,29.81,30.03,36.09,521.63,242.76,22.58,5.14,3.0,2.0
138.0,29.93,30.09,36.15,521.56,242.59,22.46,5.19,3.0,2.0
114.0,29.94,30.0,32.0,535.99,244.76,22.42,5.32,4.0,2.0
117.0,30.05,30.05,32.07,536.06,244.83,22.56,5.45,4.0,2.0
124.0,30.12,30.11,32.13,536.11,244.94,22.62,5.63,4.0,2.0
129.0,30.19,30.18,32.18,536.17,245.07,22.78,5.78,4.0,2.0
134.0,30.23,30.24,32.25,536.23,245.14,22.84,5.81,4.0,2.0
138.0,30.29,30.31,32.29,536.29,245.26,22.98,5.98,4.0,2.0
143.0,30.35,30.38,32.36,536.34,245.35,23.05,6.09,4.0,2.0
147.0,30.41,30.45,32.41,536.24,245.47,23.09,6.17,4.0,2.0
141.0,30.37,30.3,32.31,536.12,245.58,23.14,6.24,4.0,2.0
139.0,30.21,30.23,32.22,536.09,245.61,23.17,6.31,4.0,2.0
134.0,30.14,30.16,32.17,536.03,245.52,23.25,6.47,4.0,2.0
128.0,30.07,30.05,32.05,535.92,245.41,23.31,6.41,4.0,2.0
123.0,29.97,29.97,31.97,535.87,245.3,23.21,6.32,4.0,2.0
118.0,29.85,29.85,31.84,535.77,245.12,23.15,6.24,4.0,2.0
125.0,29.77,29.71,31.76,535.61,244.99,23.08,6.11,4.0,2.0
131.0,29.64,29.69,31.69,535.53,244.83,22.97,6.05,4.0,2.0
136.0,29.73,29.75,31.78,535.47,244.78,22.81,5.93,4.0,2.0
129.0,29.89,29.89,31.91,535.59,244.62,22.75,5.86,4.0,2.0
125.0,29.91,29.92,32.05,535.78,244.59,22.63,5.77,4.0,2.0
118.0,29.95,30.04,32.11,535.94,244.71,22.51,5.61,4.0,2.0
119.0,29.81,30.0,27.0,568.11,528.7,22.41,6.8,5.0,2.0
116.0,29.95,30.06,27.03,568.19,528.84,22.56,6.93,5.0,2.0
121.0,30.04,30.13,27.09,568.21,528.91,22.63,7.06,5.0,3.0
127.0,30.12,30.18,27.15,568.27,529.04,22.78,7.14,5.0,3.0
134.0,30.19,30.24,27.23,568.32,529.13,22.83,7.21,5.0,3.0
139.0,30.25,30.31,27.31,568.46,529.24,22.98,7.28,5.0,3.0
142.0,30.32,30.39,27.46,568.57,529.31,23.06,7.31,5.0,3.0
147.0,30.46,30.45,27.33,568.41,529.38,23.11,7.46,5.0,3.0
141.0,30.51,30.37,27.25,568.33,529.42,23.17,7.59,5.0,3.0
138.0,30.33,30.29,27.11,568.17,529.32,23.24,7.41,5.0,3.0
133.0,30.23,30.14,27.06,568.04,529.26,23.37,7.37,5.0,3.0
127.0,30.16,30.03,26.98,567.98,529.17,23.31,7.29,5.0,3.0
118.0,30.11,29.96,26.87,567.85,529.05,23.21,7.16,5.0,3.0
125.0,29.97,29.84,26.77,567.76,528.96,23.18,7.11,5.0,3.0
129.0,29.86,29.77,26.68,567.69,528.89,23.04,7.04,5.0,3.0
135.0,29.72,29.64,26.59,567.72,528.75,22.96,6.95,5.0,2.0
137.0,29.68,29.89,26.79,567.85,528.68,22.81,6.84,5.0,2.0
142.0,29.57,29.95,26.92,567.9,528.73,22.76,6.73,5.0,2.0
147.0,29.71,30.04,27.05,568.01,528.81,22.69,6.68,5.0,2.0
139.0,29.86,30.12,27.11,568.07,528.74,22.53,6.79,5.0,2.0
111.0,29.62,28.0,34.0,518.22,131.94,22.41,8.61,6.0,3.0
116.0,29.73,28.09,34.05,518.26,132.05,22.57,8.69,6.0,3.0
122.0,29.79,28.13,34.11,518.32,132.12,22.61,8.75,6.0,3.0
127.0,29.84,28.18,34.16,518.39,132.17,22.69,8.83,6.0,3.0
132.0,29.92,28.22,34.19,518.47,132.26,22.75,8.94,6.0,3.0
136.0,30.06,28.27,34.24,518.54,132.29,22.83,9.06,6.0,3.0
141.0,30.11,28.31,34.29,518.61,132.31,22.94,9.12,6.0,3.0
145.0,30.15,28.35,34.33,518.73,132.38,23.05,9.17,6.0,3.0
138.0,30.21,28.29,34.37,518.85,132.42,23.13,9.21,6.0,3.0
131.0,30.24,28.23,34.24,518.96,132.32,23.19,9.27,6.0,3.0
129.0,30.27,28.15,34.18,519.02,132.27,23.25,9.31,6.0,3.0
124.0,30.22,28.04,34.11,519.09,132.15,23.29,9.36,6.0,3.0
117.0,30.19,27.91,33.96,519.14,132.07,23.14,9.27,6.0,3.0
125.0,30.13,27.84,33.87,519.27,131.98,23.02,9.15,6.0,3.0
136.0,30.06,27.76,33.74,519.16,131.93,22.97,9.04,6.0,3.0
148.0,29.91,27.89,33.85,519.06,131.84,22.87,8.93,6.0,3.0
139.0,29.87,27.95,33.92,518.87,131.79,22.82,8.86,6.0,3.0
134.0,29.84,28.07,33.97,518.79,131.71,22.76,8.81,6.0,3.0
127.0,29.73,28.12,34.08,518.65,131.83,22.69,8.75,6.0,3.0
118.0,29.69,28.18,34.14,518.58,131.92,22.63,8.67,6.0,3.0
110.0,29.37,28.0,34.0,559.57,115.23,22.42,7.81,7.0,3.0
116.0,29.42,28.05,34.07,559.63,115.31,22.53,7.94,7.0,3.0
123.0,29.51,28.12,34.13,559.78,115.39,22.61,8.07,7.0,3.0
127.0,29.57,28.19,34.18,559.81,115.43,22.69,8.13,7.0,3.0
134.0,29.64,28.23,34.25,559.95,115.52,22.75,8.19,7.0,3.0
138.0,29.76,28.27,34.29,560.06,115.65,22.82,8.24,7.0,3.0
132.0,29.83,28.31,34.32,560.11,115.74,22.96,8.32,7.0,3.0
141.0,29.92,28.37,34.37,560.17,115.83,23.08,8.27,7.0,3.0
147.0,30.06,28.46,34.24,560.23,115.96,23.13,8.18,7.0,3.0
132.0,30.12,28.52,34.16,560.29,116.04,23.2,8.11,7.0,3.0
138.0,30.17,28.44,34.02,560.34,116.12,23.24,8.05,7.0,3.0
129.0,30.24,28.35,33.97,560.39,116.23,23.29,7.98,7.0,3.0
124.0,30.32,28.26,33.86,560.22,116.29,23.21,7.92,7.0,3.0
115.0,30.29,28.11,33.81,560.16,116.34,23.11,7.86,7.0,3.0
119.0,30.21,27.96,33.75,559.97,116.25,23.05,7.79,7.0,3.0
113.0,30.11,27.87,33.69,559.91,116.14,22.96,7.74,7.0,3.0
126.0,29.97,27.73,33.87,559.87,116.05,22.87,7.68,7.0,3.0
122.0,29.87,27.89,34.04,559.82,115.94,22.76,7.75,7.0,3.0
134.0,29.82,28.07,34.11,559.76,115.87,22.72,7.82,7.0,3.0
123.0,28.76,28.16,34.15,559.71,115.79,22.64,7.86,7.0,3.0
112.0,29.87,28.0,33.0,521.3,98.02,22.42,7.9,8.0,3.0
117.0,29.95,28.06,33.04,521.38,98.13,22.56,8.04,8.0,3.0
125.0,30.06,28.11,33.12,521.45,98.22,22.67,8.13,8.0,3.0
132.0,30.11,28.17,33.19,521.52,98.27,22.73,8.19,8.0,3.0
138.0,30.17,28.21,33.23,521.68,98.31,22.89,8.25,8.0,3.0
143.0,30.21,28.26,33.27,521.73,98.47,22.95,8.29,8.0,3.0
149.0,30.24,28.31,33.35,521.88,98.53,23.07,8.34,8.0,3.0
142.0,30.29,28.37,33.21,521.94,98.68,23.11,8.37,8.0,3.0
135.0,30.32,28.23,33.15,522.05,98.72,23.17,8.42,8.0,3.0
131.0,30.45,28.12,33.03,522.12,98.85,23.21,8.31,8.0,3.0
123.0,30.22,27.89,32.91,522.34,99.05,23.24,8.22,8.0,3.0
116.0,30.13,27.82,32.87,522.41,99.13,23.15,8.16,8.0,3.0
113.0,29.92,27.78,32.82,522.47,99.21,23.04,8.12,8.0,3.0
119.0,29.89,27.73,32.76,522.31,99.11,22.93,8.03,8.0,3.0
124.0,29.84,27.69,32.69,522.25,98.94,22.86,7.94,8.0,3.0
128.0,29.76,27.74,32.74,522.14,98.82,22.73,7.9,8.0,3.0
133.0,29.72,27.88,32.86,521.97,98.75,22.65,7.86,8.0,3.0
137.0,29.83,27.95,33.07,521.84,98.68,22.57,7.82,8.0,3.0
131.0,29.89,28.04,33.14,521.63,98.54,22.43,7.89,8.0,3.0
115.0,30.06,28.0,33.0,555.47,120.12,22.42,8.76,9.0,3.0
117.0,30.11,28.06,33.07,555.56,120.19,22.56,8.87,9.0,3.0
122.0,30.17,28.12,33.12,555.68,120.23,22.68,8.95,9.0,3.0
127.0,30.21,28.16,33.18,555.73,120.28,22.87,9.05,9.0,3.0
132.0,30.25,28.23,33.23,555.89,120.32,22.93,9.12,9.0,3.0
136.0,30.29,28.28,33.28,555.96,120.38,23.07,9.19,9.0,3.0
143.0,30.2,28.34,33.34,556.04,120.31,23.12,9.23,9.0,3.0
149.0,30.14,28.22,33.26,556.11,120.24,23.19,9.27,9.0,3.0
136.0,30.02,28.14,33.15,556.18,120.16,23.25,9.21,9.0,3.0
124.0,29.94,28.09,33.08,556.24,120.07,23.31,9.16,9.0,3.0
118.0,29.89,27.98,32.97,556.29,119.97,23.38,9.04,9.0,3.0
127.0,29.84,27.93,32.92,556.21,119.93,23.3,8.95,9.0,3.0
136.0,29.76,27.86,32.86,556.16,119.89,23.21,8.89,9.0,3.0
131.0,29.68,27.75,32.78,556.07,119.84,23.15,8.78,9.0,3.0
142.0,29.79,27.84,32.68,555.96,119.76,23.06,8.92,9.0,3.0
145.0,29.85,27.91,32.79,555.91,119.71,22.97,8.81,9.0,3.0
133.0,29.96,27.96,32.84,555.86,119.85,22.94,8.86,9.0,3.0
125.0,30.04,28.05,32.98,555.79,119.94,22.87,8.77,9.0,3.0
128.0,30.11,28.11,33.06,555.67,120.05,22.78,8.76,9.0,3.0
114.0,30.17,29.16,33.11,555.59,120.13,22.65,8.71,9.0,3.0
119.0,30.0,28.0,30.0,555.47,139.26,22.42,8.37,10.0,3.0
116.0,30.05,28.09,30.04,555.56,139.32,22.53,8.42,10.0,3.0
125.0,30.13,28.14,30.11,555.63,139.45,22.57,8.56,10.0,3.0
134.0,30.17,28.21,30.19,555.78,139.56,22.64,8.67,10.0,3.0
142.0,30.23,28.29,30.24,555.81,139.67,22.78,8.79,10.0,3.0
146.0,30.28,28.34,30.31,555.94,139.73,22.83,8.83,10.0,3.0
141.0,30.35,28.41,30.21,556.05,139.87,22.94,8.95,10.0,3.0
136.0,30.39,28.57,30.13,556.11,139.94,23.05,9.04,10.0,3.0
129.0,30.31,28.64,30.05,556.19,140.05,23.12,9.12,10.0,3.0
124.0,30.25,28.78,29.96,556.23,140.12,23.26,9.22,10.0,3.0
117.0,30.15,28.89,29.87,556.27,140.23,23.14,9.26,10.0,3.0
125.0,30.11,29.02,29.62,556.32,140.28,23.09,9.31,10.0,3.0
129.0,29.96,29.16,29.74,556.22,140.22,22.98,9.24,10.0,3.0
136.0,29.91,29.2,29.83,556.13,140.17,22.85,9.11,10.0,3.0
133.0,29.86,29.14,29.89,556.03,140.09,22.79,9.07,10.0,3.0
137.0,29.75,29.11,29.97,555.95,139.97,22.65,8.95,10.0,3.0
141.0,29.69,28.95,30.02,555.86,139.86,22.69,8.79,10.0,3.0
145.0,29.78,28.84,30.14,555.77,139.72,22.61,8.64,10.0,3.0
137.0,29.83,28.71,30.16,555.62,139.69,22.57,8.55,10.0,3.0
124.0,30.12,28.64,30.2,555.59,139.55,22.48,8.42,10.0,3.0
112.0,29.81,29.0,36.0,516.51,159.05,22.42,8.5,11.0,3.0
117.0,29.95,29.05,36.06,516.67,159.11,22.56,8.63,11.0,3.0
126.0,30.05,29.12,36.11,516.74,159.23,22.67,8.76,11.0,3.0
134.0,30.11,29.17,36.17,516.82,159.29,22.87,8.84,11.0,3.0
139.0,30.16,29.22,36.21,516.96,159.34,22.93,8.92,11.0,3.0
147.0,30.2,29.28,36.26,517.03,159.27,23.04,9.04,11.0,3.0
153.0,30.26,29.35,36.32,517.11,159.16,23.15,9.11,11.0,3.0
147.0,30.32,29.42,36.23,517.19,159.04,23.19,9.14,11.0,3.0
141.0,30.45,29.59,36.15,517.23,158.95,23.22,9.23,11.0,3.0
139.0,30.31,29.41,36.02,517.28,158.87,23.37,9.37,11.0,3.0
134.0,30.25,29.37,35.96,517.32,158.79,23.45,9.29,11.0,3.0
128.0,30.14,29.2,35.87,517.45,158.68,23.31,9.2,11.0,3.0
122.0,30.04,29.11,35.79,517.31,158.61,23.26,9.11,11.0,3.0
116.0,29.96,28.96,35.64,517.2,158.74,23.12,9.07,11.0,3.0
124.0,29.92,28.86,35.58,517.11,158.82,23.05,8.97,11.0,3.0
129.0,29.87,28.73,35.67,516.98,158.96,22.97,8.93,11.0,3.0
136.0,29.79,28.78,35.85,516.84,159.06,22.91,8.85,11.0,3.0
133.0,29.73,28.81,35.92,516.79,159.11,22.86,8.79,11.0,3.0
142.0,29.7,28.94,36.03,516.67,159.16,22.74,8.64,11.0,3.0
137.0,29.84,29.03,36.11,516.55,159.18,22.67,8.57,11.0,3.0
115.0,30.06,29.0,35.0,535.67,102.23,22.42,8.82,12.0,3.0
119.0,30.12,29.94,35.06,535.74,102.29,22.51,8.85,12.0,3.0
124.0,30.21,29.12,35.11,535.83,102.31,22.67,9.03,12.0,3.0
128.0,30.26,29.15,35.17,535.94,102.38,22.73,9.12,12.0,3.0
133.0,30.34,29.22,35.21,536.08,102.45,22.86,9.17,12.0,3.0
137.0,30.45,29.27,35.26,536.12,102.33,22.94,9.21,12.0,3.0
142.0,30.32,29.31,35.32,536.17,102.27,23.07,9.25,12.0,3.0
149.0,30.27,29.38,35.29,536.21,102.16,23.11,9.29,12.0,3.0
154.0,30.16,29.26,35.2,536.27,102.09,23.19,9.34,12.0,3.0
146.0,30.11,29.21,35.12,536.35,101.96,23.25,9.24,12.0,3.0
141.0,30.06,29.11,35.07,536.39,101.92,23.16,9.15,12.0,3.0
137.0,29.96,29.08,34.97,536.2,101.87,23.08,9.09,12.0,3.0
132.0,29.87,28.98,34.93,536.15,101.82,22.97,8.98,12.0,3.0
127.0,29.73,28.93,34.86,536.04,101.76,22.94,8.92,12.0,3.0
113.0,29.81,28.86,34.78,535.96,101.85,22.85,8.86,12.0,3.0
119.0,29.86,28.75,34.81,535.87,101.93,22.78,8.95,12.0,3.0
124.0,29.92,28.93,34.94,535.76,101.99,22.71,8.91,12.0,3.0
129.0,30.05,28.97,35.08,535.72,102.08,22.69,8.87,12.0,3.0
132.0,30.13,29.06,35.11,535.69,102.11,22.54,8.85,12.0,3.0
125.0,30.18,29.14,35.14,535.62,102.15,22.48,8.89,12.0,3.0
115.0,29.87,28.0,36.0,512.41,121.92,22.42,9.44,13.0,3.0
121.0,29.95,28.04,36.07,512.53,122.06,22.53,9.53,13.0,3.0
126.0,30.03,28.11,36.14,512.67,122.11,22.67,9.68,13.0,3.0
119.0,30.12,28.17,36.19,512.73,122.17,22.71,9.84,13.0,3.0
126.0,30.16,28.23,36.24,512.88,122.24,22.86,9.97,13.0,3.0
132.0,30.23,28.29,36.28,512.92,122.28,22.98,10.05,13.0,3.0
137.0,30.27,28.35,36.32,513.05,122.34,23.06,10.11,13.0,3.0
144.0,30.34,28.41,36.25,513.13,122.42,23.11,10.17,13.0,3.0
149.0,30.48,28.54,36.13,513.21,122.38,23.14,10.23,13.0,3.0
152.0,30.33,28.45,35.98,513.26,122.26,23.19,10.28,13.0,3.0
143.0,30.25,28.3,35.92,513.32,122.21,23.26,10.21,13.0,3.0
139.0,30.19,28.26,35.86,513.28,122.16,23.32,10.15,13.0,3.0
135.0,30.08,28.09,35.78,513.22,122.05,23.38,10.06,13.0,3.0
127.0,29.97,27.98,35.74,513.17,121.97,23.27,9.95,13.0,3.0
114.0,29.95,27.85,35.89,513.09,121.93,23.18,9.82,13.0,3.0
119.0,29.86,27.76,35.95,512.98,121.86,23.09,9.76,13.0,3.0
122.0,29.81,27.71,36.07,512.85,121.82,22.97,9.68,13.0,3.0
128.0,29.76,27.85,36.11,512.79,121.76,22.94,9.72,13.0,3.0
135.0,29.72,27.96,36.15,512.68,121.71,22.87,9.65,13.0,3.0
131.0,29.89,28.08,36.19,512.64,121.87,22.69,9.59,13.0,3.0
114.0,30.12,29.0,35.0,520.95,123.33,22.42,9.06,14.0,3.0
119.0,30.19,29.05,35.15,521.04,123.42,22.56,9.12,14.0,3.0
124.0,30.21,29.13,35.23,521.11,123.56,22.68,9.17,14.0,3.0
131.0,30.27,29.21,35.28,521.16,123.63,22.79,9.23,14.0,3.0
137.0,30.32,29.26,35.34,521.17,123.78,22.91,9.27,14.0,3.0
145.0,30.38,29.33,35.26,521.23,123.96,23.02,9.31,14.0,3.0
149.0,30.41,29.29,35.19,521.35,124.06,23.11,9.24,14.0,3.0
152.0,30.36,29.22,35.07,521.27,124.11,23.18,9.11,14.0,3.0
147.0,30.26,29.15,34.96,521.16,124.19,23.25,9.07,14.0,3.0
142.0,30.16,29.07,34.91,521.09,124.23,23.29,8.98,14.0,3.0
137.0,30.05,28.97,34.85,520.95,124.27,23.21,8.87,14.0,3.0
134.0,29.97,28.93,34.82,520.89,124.21,23.14,8.84,14.0,3.0
126.0,29.86,28.86,34.76,520.81,124.18,23.07,8.76,14.0,3.0
119.0,29.76,28.75,34.88,520.76,124.12,22.96,8.72,14.0,3.0
113.0,29.69,28.88,34.94,520.69,124.06,22.89,8.65,14.0,3.0
121.0,29.74,28.92,35.04,520.87,123.96,22.76,8.78,14.0,3.0
127.0,29.89,29.03,35.11,520.99,123.91,22.64,8.81,14.0,3.0
134.0,29.95,29.11,35.16,521.04,123.86,22.59,8.96,14.0,3.0
139.0,30.02,29.16,35.19,521.13,123.74,22.46,9.05,14.0,3.0
132.0,30.15,29.12,35.23,521.17,123.65,22.41,9.13,14.0,3.0
116.0,30.06,29.0,34.0,521.98,125.51,22.42,8.84,15.0,3.0
122.0,30.12,29.06,34.03,522.08,125.67,22.56,8.95,15.0,3.0
136.0,30.19,29.12,34.09,522.12,125.75,22.67,9.07,15.0,3.0
142.0,30.21,29.18,34.15,522.17,125.89,22.78,9.11,15.0,3.0
156.0,30.27,29.29,34.18,522.23,125.96,22.94,9.16,15.0,3.0
152.0,30.32,29.32,34.24,522.29,126.06,23.07,9.21,15.0,3.0
149.0,30.24,29.21,34.31,522.32,126.11,23.12,9.25,15.0,3.0
140.0,30.16,29.16,34.22,522.37,126.17,23.17,9.14,15.0,3.0
134.0,30.05,29.09,34.18,522.21,126.21,23.23,9.26,15.0,3.0
137.0,29.97,28.97,34.11,522.16,126.26,23.29,9.34,15.0,3.0
128.0,29.94,28.92,34.04,522.11,126.32,23.25,9.31,15.0,3.0
122.0,29.86,28.86,33.98,522.05,126.2,23.18,9.22,15.0,3.0
115.0,29.76,28.81,33.94,521.96,126.13,23.11,9.13,15.0,3.0
119.0,29.81,28.93,33.87,521.92,126.08,23.04,9.04,15.0,3.0
124.0,29.87,29.04,33.81,521.87,125.95,22.98,8.97,15.0,3.0
129.0,29.93,29.11,33.76,521.75,125.91,22.95,8.86,15.0,3.0
132.0,30.05,29.16,33.89,521.68,125.87,22.86,8.77,15.0,3.0
138.0,30.11,29.19,34.02,521.89,125.72,22.74,8.72,15.0,3.0
131.0,30.15,29.24,34.11,521.92,125.68,22.78,8.68,15.0,3.0
125.0,30.18,29.13,34.16,521.99,125.57,22.65,8.81,15.0,3.0
30.0,29.56,27.0,38.0,517.55,133.71,22.42,11.17,16.0,3.0
35.0,29.67,27.05,38.04,517.68,133.84,22.56,11.23,16.0,3.0
41.0,29.78,27.12,38.11,517.74,133.96,22.74,11.29,16.0,3.0
46.0,29.84,27.18,38.16,517.83,134.05,22.85,11.34,16.0,3.0
52.0,29.96,27.23,38.22,517.95,134.11,22.93,11.39,16.0,3.0
49.0,30.03,27.28,38.27,518.06,134.19,23.07,11.26,16.0,3.0
43.0,30.11,27.34,38.31,518.11,134.26,23.13,11.19,16.0,3.0
38.0,30.16,27.21,38.28,518.21,134.37,23.17,11.12,16.0,3.0
35.0,30.21,27.11,38.15,518.26,134.31,23.24,11.05,16.0,3.0
31.0,30.28,27.08,38.09,518.34,134.23,23.35,10.98,16.0,3.0
39.0,30.31,26.97,37.97,518.23,134.16,23.29,10.86,16.0,3.0
45.0,30.22,26.85,37.89,518.17,134.08,23.18,10.75,16.0,3.0
48.0,30.15,26.76,37.74,518.12,133.98,23.12,10.72,16.0,3.0
52.0,30.09,26.69,37.68,518.04,133.92,23.04,10.68,16.0,3.0
55.0,29.95,26.88,37.87,517.96,133.87,22.97,10.79,16.0,3.0
49.0,29.81,26.93,37.98,517.85,133.83,22.84,10.81,16.0,3.0
45.0,29.76,27.06,38.08,517.79,133.79,22.79,11.02,16.0,3.0
41.0,29.66,27.13,38.14,517.68,133.76,22.63,11.08,16.0,3.0
38.0,29.54,27.17,38.19,517.63,133.65,22.77,11.15,16.0,3.0
34.0,29.59,27.21,38.23,517.57,133.79,22.56,11.21,16.0,3.0
36.0,29.0,28.0,39.0,520.27,151.6,22.41,10.41,17.0,3.0
37.0,29.06,28.03,39.05,520.34,151.75,22.56,10.54,17.0,3.0
31.0,29.15,28.12,39.18,520.46,151.86,22.67,10.68,17.0,3.0
38.0,29.23,28.19,39.23,520.57,151.98,22.78,10.75,17.0,3.0
43.0,29.28,28.26,39.29,520.68,152.04,22.89,10.83,17.0,3.0
47.0,29.34,28.35,39.34,520.75,152.11,22.95,10.97,17.0,3.0
51.0,29.31,28.22,39.21,520.89,152.17,23.06,11.06,17.0,3.0
54.0,29.25,28.11,39.15,521.04,152.25,23.14,11.12,17.0,3.0
58.0,29.14,28.06,39.06,521.12,152.12,23.19,11.19,17.0,3.0
51.0,29.04,27.96,38.97,521.19,152.06,23.25,11.24,17.0,3.0
45.0,28.97,27.87,38.85,521.23,151.97,23.15,11.29,17.0,3.0
41.0,28.85,27.74,38.79,521.16,151.91,23.09,11.14,17.0,3.0
39.0,28.77,27.63,38.68,521.09,151.85,22.98,11.07,17.0,3.0
35.0,28.68,27.79,38.77,520.96,151.89,22.86,10.96,17.0,3.0
33.0,28.89,27.82,38.83,520.87,151.76,22.78,10.87,17.0,3.0
40.0,28.92,27.98,38.96,520.76,151.68,22.63,10.76,17.0,3.0
46.0,29.02,28.04,39.02,520.64,151.77,22.54,10.64,17.0,3.0
49.0,29.09,28.12,39.16,520.56,151.82,22.67,10.69,17.0,3.0
44.0,29.14,28.18,39.22,520.49,151.65,22.51,10.56,17.0,3.0
35.0,29.19,28.24,39.27,520.33,151.61,22.43,10.45,17.0,3.0
38.0,28.94,28.0,39.0,520.95,154.95,22.42,11.76,18.0,3.0
36.0,29.05,28.04,39.07,521.07,155.03,22.56,11.86,18.0,3.0
31.0,29.11,28.11,39.13,521.13,155.09,22.67,11.97,18.0,3.0
39.0,29.16,28.17,39.18,521.19,155.15,22.78,12.05,18.0,3.0
45.0,29.22,28.23,39.24,521.24,155.23,22.84,12.11,18.0,3.0
48.0,29.25,28.27,39.37,521.32,155.27,22.97,12.18,18.0,3.0
53.0,29.29,28.34,39.45,521.37,155.34,23.05,12.26,18.0,3.0
57.0,29.36,28.45,39.56,521.31,155.45,23.13,12.34,18.0,3.0
